,country,happiness_score,economy_gdp,life_expectancy,year
0,Denmark,7.526,1.4417799999999998,0.79504,2016
1,Switzerland,7.5089999999999995,1.5273299999999999,0.86303,2016
2,Iceland,7.501,1.42666,0.8673299999999999,2016
3,Norway,7.497999999999999,1.57744,0.79579,2016
4,Finland,7.412999999999999,1.40598,0.81091,2016
5,Canada,7.404,1.44015,0.8276,2016
6,Netherlands,7.3389999999999995,1.46468,0.8123100000000001,2016
7,New Zealand,7.334,1.36066,0.83096,2016
8,Australia,7.313,1.4444299999999999,0.8512,2016
9,Sweden,7.291,1.45181,0.83121,2016
10,Israel,7.267,1.33766,0.8491700000000001,2016
11,Austria,7.119,1.45038,0.80565,2016
12,United States,7.104,1.50796,0.779,2016
13,Costa Rica,7.087000000000001,1.06879,0.76146,2016
14,Puerto Rico,7.039,1.35943,0.77758,2016
15,Germany,6.994,1.44787,0.81487,2016
16,Brazil,6.952000000000001,1.08754,0.61415,2016
17,Belgium,6.928999999999999,1.42539,0.8195899999999999,2016
18,Ireland,6.907,1.4834100000000001,0.81455,2016
19,Luxembourg,6.871,1.6975200000000001,0.8454200000000001,2016
20,Mexico,6.778,1.1150799999999998,0.71143,2016
21,Singapore,6.739,1.64555,0.94719,2016
22,United Kingdom,6.725,1.40283,0.80991,2016
23,Chile,6.705,1.2167,0.8188300000000001,2016
24,Panama,6.7010000000000005,1.18306,0.70835,2016
25,Argentina,6.65,1.15137,0.69711,2016
26,Czech Republic,6.596,1.30915,0.76376,2016
27,United Arab Emirates,6.5729999999999995,1.57352,0.72993,2016
28,Uruguay,6.545,1.18157,0.72183,2016
29,Malta,6.4879999999999995,1.30782,0.80315,2016
30,Colombia,6.481,1.0303200000000001,0.59659,2016
31,France,6.478,1.39488,0.83795,2016
32,Thailand,6.474,1.0893,0.64915,2016
33,Saudi Arabia,6.379,1.48953,0.59267,2016
34,Taiwan,6.379,1.39729,0.79565,2016
35,Qatar,6.375,1.82427,0.71723,2016
36,Spain,6.361000000000001,1.34253,0.8789600000000001,2016
37,Algeria,6.355,1.05266,0.6180399999999999,2016
38,Guatemala,6.324,0.83454,0.5403899999999999,2016
39,Suriname,6.269,1.09686,0.5093300000000001,2016
40,Kuwait,6.239,1.61714,0.63569,2016
41,Bahrain,6.218,1.44024,0.65696,2016
42,Trinidad and Tobago,6.167999999999999,1.32572,0.52608,2016
43,Venezuela,6.084,1.1336700000000002,0.6190399999999999,2016
44,Slovakia,6.077999999999999,1.27973,0.70367,2016
45,El Salvador,6.068,0.8737,0.596,2016
46,Malaysia,6.005,1.25142,0.62366,2016
47,Nicaragua,5.992000000000001,0.69384,0.65213,2016
48,Uzbekistan,5.987,0.7359100000000001,0.50163,2016
49,Italy,5.977,1.35495,0.8510200000000001,2016
50,Ecuador,5.976,0.97306,0.68613,2016
51,Belize,5.956,0.87616,0.45569,2016
52,Japan,5.921,1.3800700000000001,0.91491,2016
53,Kazakhstan,5.919,1.22943,0.57386,2016
54,Moldova,5.897,0.69177,0.5230899999999999,2016
55,Russia,5.856,1.2322799999999998,0.58991,2016
56,Poland,5.835,1.24585,0.69058,2016
57,South Korea,5.835,1.35948,0.88645,2016
58,Bolivia,5.822,0.79422,0.4697,2016
59,Lithuania,5.813,1.2692,0.64674,2016
60,Belarus,5.8020000000000005,1.1306200000000002,0.6310399999999999,2016
61,North Cyprus,5.771,1.31141,0.8414200000000001,2016
