,country,happiness_score,economy_gdp,life_expectancy,year
122,Mozambique,4.417,0.198,0.17300000000000001,2018
123,Kenya,4.41,0.493,0.45399999999999996,2018
124,Zambia,4.377,0.562,0.295,2018
125,Mauritania,4.356,0.557,0.292,2018
126,Ethiopia,4.35,0.308,0.391,2018
127,Georgia,4.34,0.853,0.643,2018
128,Armenia,4.321000000000001,0.816,0.6659999999999999,2018
129,Myanmar,4.308,0.682,0.429,2018
130,Chad,4.301,0.358,0.053,2018
131,Congo (Kinshasa),4.245,0.069,0.204,2018
132,India,4.19,0.721,0.485,2018
133,Niger,4.166,0.131,0.221,2018
134,Uganda,4.1610000000000005,0.322,0.237,2018
135,Benin,4.141,0.37799999999999995,0.24,2018
136,Sudan,4.138999999999999,0.605,0.312,2018
137,Ukraine,4.103,0.7929999999999999,0.609,2018
138,Togo,3.9989999999999997,0.259,0.253,2018
139,Guinea,3.964,0.344,0.21100000000000002,2018
140,Lesotho,3.8080000000000003,0.47200000000000003,0.079,2018
141,Angola,3.795,0.73,0.26899999999999996,2018
142,Madagascar,3.7739999999999996,0.262,0.402,2018
143,Zimbabwe,3.6919999999999997,0.35700000000000004,0.248,2018
144,Afghanistan,3.6319999999999997,0.332,0.255,2018
145,Botswana,3.59,1.0170000000000001,0.41700000000000004,2018
146,Malawi,3.5869999999999997,0.18600000000000003,0.306,2018
147,Haiti,3.582,0.315,0.289,2018
148,Liberia,3.495,0.076,0.267,2018
149,Syria,3.4619999999999997,0.6890000000000001,0.539,2018
150,Rwanda,3.408,0.332,0.4,2018
151,Yemen,3.355,0.442,0.34299999999999997,2018
152,Tanzania,3.303,0.455,0.381,2018
153,South Sudan,3.2539999999999996,0.337,0.177,2018
154,Central African Republic,3.083,0.024,0.01,2018
155,Burundi,2.905,0.091,0.145,2018
