,country,happiness_score,economy_gdp,life_expectancy,year
0,Finland,7.769,1.34,0.986,2019
1,Denmark,7.6,1.383,0.996,2019
2,Norway,7.553999999999999,1.4880000000000002,1.028,2019
3,Iceland,7.494,1.38,1.026,2019
4,Netherlands,7.4879999999999995,1.396,0.9990000000000001,2019
5,Switzerland,7.48,1.452,1.052,2019
6,Sweden,7.343,1.3869999999999998,1.0090000000000001,2019
7,New Zealand,7.307,1.3030000000000002,1.026,2019
8,Canada,7.278,1.365,1.0390000000000001,2019
9,Austria,7.246,1.376,1.016,2019
10,Australia,7.228,1.3719999999999999,1.036,2019
11,Costa Rica,7.167000000000001,1.034,0.963,2019
12,Israel,7.138999999999999,1.276,1.0290000000000001,2019
13,Luxembourg,7.09,1.609,1.012,2019
14,United Kingdom,7.053999999999999,1.3330000000000002,0.996,2019
15,Ireland,7.021,1.499,0.9990000000000001,2019
16,Germany,6.985,1.3730000000000002,0.987,2019
17,Belgium,6.922999999999999,1.3559999999999999,0.986,2019
18,United States,6.892,1.433,0.8740000000000001,2019
19,Czech Republic,6.852,1.2690000000000001,0.92,2019
20,United Arab Emirates,6.825,1.5030000000000001,0.825,2019
21,Malta,6.726,1.3,0.9990000000000001,2019
22,Mexico,6.595,1.07,0.861,2019
23,France,6.5920000000000005,1.324,1.045,2019
24,Taiwan,6.446000000000001,1.368,0.914,2019
25,Chile,6.444,1.159,0.92,2019
26,Guatemala,6.436,0.8,0.746,2019
27,Saudi Arabia,6.375,1.403,0.795,2019
28,Qatar,6.374,1.6840000000000002,0.871,2019
29,Spain,6.354,1.286,1.062,2019
30,Panama,6.321000000000001,1.149,0.91,2019
31,Brazil,6.3,1.004,0.802,2019
32,Uruguay,6.292999999999999,1.124,0.8909999999999999,2019
33,Singapore,6.2620000000000005,1.5719999999999998,1.141,2019
34,El Salvador,6.252999999999999,0.794,0.789,2019
35,Italy,6.223,1.294,1.0390000000000001,2019
36,Bahrain,6.199,1.3619999999999999,0.871,2019
37,Slovakia,6.1979999999999995,1.246,0.8809999999999999,2019
38,Trinidad & Tobago,6.192,1.2309999999999999,0.713,2019
39,Poland,6.182,1.206,0.884,2019
40,Uzbekistan,6.1739999999999995,0.745,0.7559999999999999,2019
41,Lithuania,6.149,1.238,0.818,2019
42,Colombia,6.125,0.985,0.841,2019
43,Slovenia,6.117999999999999,1.258,0.953,2019
44,Nicaragua,6.105,0.6940000000000001,0.835,2019
45,Kosovo,6.1,0.882,0.758,2019
46,Argentina,6.086,1.092,0.8809999999999999,2019
47,Romania,6.07,1.162,0.825,2019
48,Cyprus,6.046,1.263,1.042,2019
49,Ecuador,6.028,0.912,0.868,2019
50,Kuwait,6.021,1.5,0.8079999999999999,2019
51,Thailand,6.007999999999999,1.05,0.828,2019
52,Latvia,5.94,1.187,0.812,2019
53,South Korea,5.895,1.301,1.036,2019
54,Estonia,5.893,1.237,0.8740000000000001,2019
55,Jamaica,5.89,0.831,0.831,2019
56,Mauritius,5.888,1.12,0.7979999999999999,2019
57,Japan,5.886,1.327,1.088,2019
58,Honduras,5.86,0.642,0.828,2019
59,Kazakhstan,5.809,1.173,0.7290000000000001,2019
60,Bolivia,5.779,0.7759999999999999,0.706,2019
61,Hungary,5.757999999999999,1.2009999999999998,0.828,2019
62,Paraguay,5.742999999999999,0.855,0.777,2019
63,Northern Cyprus,5.718,1.263,1.042,2019
64,Peru,5.697,0.96,0.8540000000000001,2019
65,Portugal,5.693,1.2209999999999999,0.9990000000000001,2019
66,Pakistan,5.653,0.677,0.535,2019
67,Russia,5.648,1.183,0.726,2019
68,Philippines,5.631,0.807,0.657,2019
69,Serbia,5.603,1.004,0.8540000000000001,2019
70,Moldova,5.529,0.685,0.7390000000000001,2019
71,Libya,5.525,1.044,0.6729999999999999,2019
72,Montenegro,5.523,1.051,0.871,2019
73,Tajikistan,5.4670000000000005,0.493,0.718,2019
74,Croatia,5.432,1.155,0.914,2019
75,Hong Kong,5.43,1.4380000000000002,1.122,2019
76,Dominican Republic,5.425,1.015,0.779,2019
77,Bosnia and Herzegovina,5.386,0.945,0.845,2019
78,Turkey,5.372999999999999,1.183,0.8079999999999999,2019
79,Malaysia,5.3389999999999995,1.2209999999999999,0.828,2019
80,Belarus,5.3229999999999995,1.067,0.789,2019
81,Greece,5.287000000000001,1.181,0.9990000000000001,2019
82,Mongolia,5.285,0.948,0.667,2019
83,North Macedonia,5.274,0.983,0.838,2019
84,Nigeria,5.265,0.696,0.245,2019
85,Kyrgyzstan,5.261,0.551,0.723,2019
86,Turkmenistan,5.247000000000001,1.052,0.657,2019
87,Algeria,5.211,1.002,0.785,2019
88,Morocco,5.207999999999999,0.8009999999999999,0.782,2019
89,Azerbaijan,5.207999999999999,1.043,0.769,2019
90,Lebanon,5.197,0.987,0.815,2019
91,Indonesia,5.192,0.9309999999999999,0.66,2019
92,China,5.191,1.0290000000000001,0.893,2019
93,Vietnam,5.175,0.741,0.851,2019
94,Bhutan,5.082,0.813,0.604,2019
95,Cameroon,5.044,0.5489999999999999,0.331,2019
96,Bulgaria,5.011,1.092,0.815,2019
97,Ghana,4.996,0.611,0.486,2019
98,Ivory Coast,4.944,0.569,0.23199999999999998,2019
99,Nepal,4.913,0.446,0.677,2019
100,Jordan,4.906000000000001,0.8370000000000001,0.815,2019
101,Benin,4.883,0.39299999999999996,0.397,2019
102,Congo (Brazzaville),4.812,0.6729999999999999,0.508,2019
