,country,happiness_score,beer_percapita,spirit_percapita,wine_percapita
169,Belarus,5.8020000000000005,142,373,42
170,Slovenia,5.768,270,51,276
171,Peru,5.742999999999999,163,160,21
172,Turkmenistan,5.6579999999999995,19,71,32
173,Mauritius,5.648,98,31,18
174,Latvia,5.56,281,216,62
175,Cyprus,5.546,192,154,113
176,Paraguay,5.537999999999999,213,117,74
177,Romania,5.528,297,122,167
178,Estonia,5.517,224,194,59
179,Jamaica,5.51,82,97,9
180,Croatia,5.4879999999999995,230,87,254
181,Turkey,5.388999999999999,51,22,7
182,Jordan,5.303,6,21,1
183,Azerbaijan,5.291,21,46,5
184,Philippines,5.279,71,186,1
185,China,5.245,79,192,8
186,Kyrgyzstan,5.185,31,97,6
187,Serbia,5.1770000000000005,283,131,127
188,Bosnia and Herzegovina,5.162999999999999,76,173,8
189,Montenegro,5.1610000000000005,31,114,128
190,Dominican Republic,5.155,193,147,9
191,Morocco,5.151,12,6,10
192,Hungary,5.145,234,215,185
193,Lebanon,5.129,20,55,31
194,Portugal,5.122999999999999,194,67,339
195,Macedonia,5.121,106,27,86
196,Vietnam,5.061,111,2,1
197,Tunisia,5.045,51,3,20
198,Greece,5.033,133,112,218
199,Mongolia,4.907,77,189,8
200,Nigeria,4.875,42,5,2
201,Honduras,4.871,69,98,2
202,Zambia,4.795,32,19,4
203,Albania,4.655,89,132,54
204,Sierra Leone,4.635,25,3,2
205,Namibia,4.574,376,3,1
206,Cameroon,4.513,147,1,4
207,South Africa,4.459,225,76,81
208,Egypt,4.362,6,4,1
209,Armenia,4.36,21,179,11
210,Kenya,4.356,58,22,2
211,Ukraine,4.324,206,237,45
212,Ghana,4.276,31,3,10
213,Georgia,4.252,52,100,149
214,Senegal,4.218999999999999,9,1,7
215,Bulgaria,4.217,231,252,94
216,Zimbabwe,4.1930000000000005,64,18,4
217,Malawi,4.156000000000001,8,11,1
218,Gabon,4.121,347,98,59
219,Mali,4.073,5,1,1
220,Haiti,4.0280000000000005,1,326,1
221,Botswana,3.9739999999999998,173,35,35
222,Comoros,3.9560000000000004,1,3,1
223,Cambodia,3.907,57,65,1
224,Angola,3.866,217,57,45
225,Niger,3.8560000000000003,3,2,1
226,Chad,3.763,15,1,1
227,Burkina Faso,3.739,25,7,7
228,Madagascar,3.695,26,15,4
229,Tanzania,3.6660000000000004,36,6,1
230,Liberia,3.622,19,152,2
231,Benin,3.484,34,4,13
232,Togo,3.303,36,2,19
233,Syria,3.069,5,35,16
234,Norway,7.537000179290769,169,71,129
235,Denmark,7.52199983596802,224,81,278
236,Iceland,7.50400018692017,233,61,78
237,Switzerland,7.49399995803833,185,100,280
238,Finland,7.468999862670901,263,133,97
239,Netherlands,7.3769998550415,251,88,190
240,Canada,7.31599998474121,240,122,100
241,New Zealand,7.31400012969971,203,79,175
242,Sweden,7.28399991989136,152,60,186
243,Australia,7.28399991989136,261,72,212
244,Israel,7.212999820709231,63,69,9
245,Costa Rica,7.0789999961853,149,87,11
246,Austria,7.00600004196167,279,75,191
247,United States,6.993000030517581,249,158,84
248,Ireland,6.9770002365112305,313,118,165
249,Germany,6.9510002136230495,346,117,175
250,Belgium,6.89099979400635,295,84,212
251,Luxembourg,6.86299991607666,236,133,271
252,United Kingdom,6.71400022506714,219,126,195
253,Chile,6.65199995040894,130,124,172
